Time (HH:MM:SS) - Plot 0	RFU - Plot 0
1924.28	1
1925.28	1
1926.28	2
1927.28	3
1928.29	3
1929.29	3
1930.29	3
1931.29	4
1932.29	4
1933.29	4
1934.29	4
1935.29	4
1936.29	4
1937.29	4
1938.29	8
1939.29	24
1940.29	79
1941.29	218
1942.29	491
1943.3	896
1944.3	1330
1945.3	1614
1946.3	1604
1947.3	1306
1948.3	874
1949.3	487
1950.3	233
1951.3	105
1952.3	54
1953.3	36
1954.3	30
1955.3	28
1956.3	26
1957.3	26
1958.31	26
1959.31	24
1960.31	21
1961.31	18
1962.31	14
1963.31	12
1964.31	11
1965.31	10
1966.31	9
1967.31	8
1968.31	8
1969.31	7
1970.31	7
1971.31	6
1972.31	6
1973.32	6
1974.32	7
1975.32	7
1976.32	7
1977.32	7
1978.32	6
1979.32	6
1980.32	6
1981.32	6
1982.32	6
1983.32	6
1984.32	7
1985.32	7
1986.32	8
1987.32	8
1988.33	8
1989.33	8
1990.33	9
1991.33	10
1992.33	12
1993.33	22
1994.33	61
1995.33	191
1996.33	527
1997.33	1205
1998.33	2259
1999.33	3483
2000.33	4431
2001.33	4661
2002.33	4056
2003.34	2924
2004.34	1756
2005.34	898
2006.34	415
2007.34	199
2008.34	117
2009.34	88
2010.34	78
2011.34	73
2012.34	71
2013.34	68
2014.34	63
2015.34	57
2016.34	50
2017.34	42
2018.35	34
2019.35	27
2020.35	22
2021.35	18
2022.35	15
2023.35	13
2024.35	11
2025.35	10
2026.35	9
2027.35	8
2028.35	7
2029.35	6
2030.35	5
2031.35	5
2032.35	4
2033.36	4
2034.36	4
2035.36	4
2036.36	3
2037.36	3
2038.36	3
2039.36	3
2040.36	2
2041.36	2
2042.36	2
2043.36	2
2044.36	2
2045.36	2
2046.36	1
2047.36	1
2048.37	1
2049.37	2
2050.37	2
2051.37	3
2052.37	3
2053.37	4
2054.37	4
2055.37	4
2056.37	4
2057.37	2
2058.37	1
2059.37	0
2060.37	0
2061.37	0
2062.37	0
2063.38	0
2064.38	1
2065.38	1
2066.38	1
2067.38	1
2068.38	2
2069.38	2
2070.38	2
2071.38	2
2072.38	2
2073.38	5
2074.38	16
2075.38	51
2076.38	145
2077.38	346
2078.39	684
2079.39	1120
2080.39	1528
2081.39	1746
2082.39	1677
2083.39	1357
2084.39	928
2085.39	541
2086.39	276
2087.39	133
2088.39	69
2089.39	44
2090.39	35
2091.39	30
2092.39	27
2093.4	25
2094.4	23
2095.4	20
2096.4	17
2097.4	14
2098.4	12
2099.4	11
2100.4	9
2101.4	8
2102.4	6
2103.4	4
2104.4	3
2105.4	3
2106.4	3
2107.4	3
2108.41	3
2109.41	2
2110.41	2
2111.41	2
2112.41	2
